5.6873376,POINT(61.55059135,2,1
5.68801886,POINT(61.54999591,1,1
5.70903532,POINT(61.53623945,2,1
5.70971056,POINT(61.53566946,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
5.1983789,POINT(59.25033344,2,1
Z,POINT,2,1
Z,POINT,1,1
5.19261327,POINT(59.22096216,2,1
5.20177889,POINT(59.26984975,1,1
5.62875185,POINT(58.72459688,2,1
5.71190418,POINT(58.8231418,2,1
5.71901047,POINT(58.83313776,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
10.17843201,POINT(59.74951661,1,1
Z,POINT,2,1
10.34301905,POINT(59.96440394,1,1
10.34761751,POINT(59.9639779,2,1
10.30472396,POINT(59.73318412,2,1
10.30692634,POINT(59.73145702,1,1
10.31233518,POINT(59.72819432,2,1
Z,POINT,2,1
5.34871029,POINT(60.3519982,2,1
5.39836155,POINT(60.34146426,2,1
5.24464857,POINT(60.34767064,2,1
5.12667295,POINT(60.36279079,2,1
5.12554111,POINT(60.36274032,1,1
Z,POINT,1,1
Z,POINT,2,1
5.33757741,POINT(60.2673693,1,1
5.3367021,POINT(60.26773545,2,1
Z,POINT,2,1
Z,POINT,2,1
5.40788011,POINT(60.27930969,2,1
5.43107876,POINT(60.26580236,1,1
5.3700741,POINT(60.4694045,1,1
5.41120224,POINT(60.46011073,2,1
6.16696382,POINT(60.6389036,1,1
6.16608013,POINT(60.63927771,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
10.43647641,POINT(59.84201448,2,1
10.43532507,POINT(59.84113107,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
10.85266709,POINT(60.10798733,2,1
10.8718603,POINT(60.09013535,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
7.77724757,POINT(58.49128854,2,1
7.77865829,POINT(58.48833631,1,1
Z,POINT,1,1
Z,POINT,2,1
7.96801263,POINT(58.15100276,1,1
Z,POINT,1,1
10.77688573,POINT(59.84640298,2,1
10.78495584,POINT(59.86128609,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
10.46275644,POINT(59.39381763,2,1
Z,POINT,2,1
14.12163362,POINT(66.3397121,1,1
14.1229491,POINT(66.339882,2,1
14.15911311,POINT(66.33779181,1,1
14.16018308,POINT(66.33745914,2,1
Z,POINT,2,1
10.15778304,POINT(61.52231146,1,1
9.55010297,POINT(61.73111533,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
16.5414645,POINT(68.72784702,1,1
Z,POINT,2,1
16.52326857,POINT(68.70561423,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
11.06890851,POINT(59.27046611,2,1
11.06389608,POINT(59.26967947,1,1
Z,POINT,2,1
Z,POINT,1,1
23.42005989,POINT(69.96598707,2,1
23.3975542,POINT(69.96200905,1,1
23.22217261,POINT(69.95777819,1,1
9.64789623,POINT(59.12260503,2,1
Z,POINT,2,1
Z,POINT,2,1
9.66674126,POINT(59.09541624,1,1
9.66500979,POINT(59.0845445,2,1
9.37606053,POINT(58.94345468,1,1
9.32424244,POINT(58.93585227,2,1
9.60670287,POINT(58.98166045,2,1
Z,POINT,1,1
Z,POINT,2,1
10.85655371,POINT(60.68067394,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
10.84005459,POINT(60.68271041,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
10.93195683,POINT(59.2200666,2,1
11.298973,POINT(59.12142101,1,1
11.29788273,POINT(59.12149717,2,1
11.32263309,POINT(59.12225361,2,1
11.32371007,POINT(59.12238152,1,1
11.33728841,POINT(59.12351459,2,1
11.33838573,POINT(59.12346356,1,1
11.35068257,POINT(59.12534077,1,1
11.35709007,POINT(59.12658726,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
11.31364077,POINT(59.38659066,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
10.11870537,POINT(60.20142184,1,1
10.46584575,POINT(59.81741987,1,1
10.46780372,POINT(59.81524906,2,1
Z,POINT,2,1
15.09112326,POINT(67.32273314,2,1
10.89785158,POINT(59.24656733,1,1
10.89943673,POINT(59.24446956,2,1
Z,POINT,1,1
8.92357632,POINT(62.11857271,2,1
8.8530199,POINT(62.11795808,1,1
8.29822855,POINT(62.23584446,1,1
11.46758467,POINT(60.97572151,1,1
11.45126719,POINT(60.98286501,2,1
10.73780867,POINT(62.28764533,1,1
Z,POINT,1,1
9.68834003,POINT(59.09371336,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
15.08973703,POINT(67.32289558,1,1
15.05637701,POINT(68.58743997,2,1
15.05747215,POINT(68.58784454,1,1
Z,POINT,2,1
Z,POINT,1,1
9.32489357,POINT(58.93633412,1,1
9.28282906,POINT(58.89667056,2,1
5.66313177,POINT(58.79322827,1,1
Z,POINT,1,1
5.78111349,POINT(58.80326201,2,1
5.77639632,POINT(58.8080583,1,1
10.99681147,POINT(59.21093842,2,1
10.99704883,POINT(59.21089075,1,1
11.00665459,POINT(59.21577717,2,1
11.00827694,POINT(59.21650558,1,1
11.06276871,POINT(59.22108006,1,1
15.01908306,POINT(67.31527189,2,1
Z,POINT,1,1
5.1971606,POINT(60.41668595,2,1
5.19692586,POINT(60.41721857,1,1
5.32504671,POINT(60.44526314,2,1
5.32459673,POINT(60.44578594,1,1
10.1773316,POINT(59.73600542,2,1
Z,POINT,2,1
Z,POINT,1,1
10.8992021,POINT(59.27092953,2,1
10.89988106,POINT(59.26903446,1,1
10.8932833,POINT(59.26236313,2,1
10.89279296,POINT(59.26184848,1,1
5.64207416,POINT(58.9527026,1,1
5.64804549,POINT(58.9512711,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
7.9730995,POINT(58.14127226,2,1
7.53323308,POINT(58.03742884,2,1
7.87066159,POINT(58.14512759,2,1
7.76699536,POINT(58.09324682,2,1
7.1750972,POINT(58.13870117,1,1
8.84161939,POINT(58.49043138,1,1
8.84225546,POINT(58.49112003,2,1
18.33124088,POINT(68.8593109,2,1
18.33257327,POINT(68.8590588,1,1
18.58290141,POINT(69.11796083,2,1
9.45086365,POINT(58.960966,2,1
9.0499366,POINT(60.64751917,1,1
8.56673246,POINT(60.62955358,1,1
8.55959229,POINT(60.62731406,2,1
9.13147332,POINT(60.55547656,1,1
9.17683456,POINT(60.49158839,1,1
9.13196721,POINT(60.55495236,2,1
9.1774001,POINT(60.49110392,2,1
9.69393609,POINT(59.12570362,2,1
8.69701588,POINT(58.40957443,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
9.0496331,POINT(62.09418296,2,1
9.39367633,POINT(61.89613286,1,1
9.34004421,POINT(61.92047546,1,1
9.39455385,POINT(61.89574715,2,1
9.34109628,POINT(61.92021697,2,1
10.69838252,POINT(60.21511321,1,1
10.68703592,POINT(60.24505368,1,1
10.68744142,POINT(60.24452361,2,1
10.69782675,POINT(60.21445424,2,1
10.86259681,POINT(62.00051771,1,1
10.72721336,POINT(62.05236746,1,1
10.86325102,POINT(62.0000142,2,1
10.72723578,POINT(62.05180373,2,1
11.67906176,POINT(60.93764421,1,1
11.79491573,POINT(61.01117256,1,1
11.79378058,POINT(61.01111298,2,1
11.67855572,POINT(60.93712515,2,1
Z,POINT,1,1
Z,POINT,2,1
10.31696584,POINT(61.29046847,2,1
10.31679945,POINT(61.29110251,1,1
Z,POINT,2,1
10.6192213,POINT(59.66836063,2,1
10.95137224,POINT(59.04914645,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
10.95123049,POINT(59.04969416,2,1
7.99349709,POINT(58.15370911,1,1
Z,POINT,1,1
10.1013948,POINT(60.203232,2,1
5.79539264,POINT(60.58298801,2,1
5.79670419,POINT(60.5829686,1,1
Z,POINT,2,1
5.63444797,POINT(59.01427563,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
10.19332578,POINT(60.27994654,2,1
10.09908856,POINT(60.35370509,2,1
10.09951985,POINT(60.35320365,1,1
10.19253293,POINT(60.27955955,1,1
Z,POINT,2,1
7.99449386,POINT(58.07660815,1,1
Z,POINT,2,1
7.99365946,POINT(58.07697394,2,1
10.75326158,POINT(60.15202751,1,1
Z,POINT,2,1
5.37170355,POINT(60.49509502,2,1
5.3490105,POINT(60.50799639,1,1
5.44674749,POINT(60.1720369,2,1
5.44303776,POINT(60.16950907,1,1
10.61389031,POINT(60.61775782,1,1
10.60511166,POINT(60.65291552,1,1
10.60494352,POINT(60.65233046,2,1
10.61477093,POINT(60.61741633,2,1
10.187569,POINT(61.46702367,1,1
10.1748887,POINT(61.49543724,1,1
10.17522626,POINT(61.49490181,2,1
10.18702827,POINT(61.46651372,2,1
9.2031288,POINT(62.09547004,2,1
9.25109664,POINT(62.1029379,2,1
9.47343131,POINT(61.78013868,1,1
9.28120821,POINT(61.81075327,1,1
9.28201014,POINT(61.81031448,2,1
9.47390095,POINT(61.77961708,2,1
Z,POINT,1,1
Z,POINT,2,1
23.28811948,POINT(69.95819019,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,1,1
5.05506534,POINT(60.78193339,1,1
5.04730349,POINT(60.78373068,2,1
11.22670984,POINT(59.92399351,1,1
11.32969541,POINT(59.95211511,1,1
11.32867939,POINT(59.95234557,2,1
11.22567237,POINT(59.92419514,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
10.64359833,POINT(59.95401462,2,1
9.92847454,POINT(61.55999592,1,1
9.92829757,POINT(61.55992551,2,1
10.00826769,POINT(61.54858793,1,1
10.00995634,POINT(61.54835471,2,1
9.70794412,POINT(61.62734908,1,1
Z,POINT,1,1
Z,POINT,2,1
9.70704162,POINT(61.62816501,2,1
9.68060041,POINT(60.29982221,1,1
Z,POINT,1,1
Z,POINT,2,1
10.73293514,POINT(59.45164113,1,1
10.76173602,POINT(59.45787574,1,1
10.76077009,POINT(59.45765808,2,1
10.73156174,POINT(59.45175585,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
5.03195489,POINT(60.3941416,2,1
5.0314375,POINT(60.39464891,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
Z,POINT,2,1
Z,POINT,2,1
Z,POINT,1,1
Z,POINT,1,1
10.1404731,POINT(59.75388125,2,1
10.9030324,POINT(63.54975635,2,1
